level,word,phonetic,pos,meaning,example,example_zh
CET4,ability,ə'bɪləti,n.,能力；才能,She has the ability to solve difficult problems.,她有解决难题的能力。
CET4,abroad,ə'brɔːd,adv.,在国外；到国外,She plans to study abroad next year.,她计划明年出国留学。
CET4,absorb,əb'zɔːb,v.,吸收；使专注,Plants absorb water and nutrients from the soil.,植物从土壤中吸收水分和养分。
CET4,academic,ˌækə'demɪk,adj.,学术的；学业的,His academic performance improved greatly.,他的学业成绩大大提高。
CET4,accept,ək'sept,v.,接受；同意,I am happy to accept your invitation.,我很高兴接受你的邀请。
CET4,accident,'æksɪdənt,n.,事故；意外,He was late because of a traffic accident.,他因为一起交通事故迟到了。
CET4,accompany,ə'kʌmpəni,v.,陪伴；伴随,Children must be accompanied by an adult.,儿童必须有成人陪同。
CET4,account,ə'kaʊnt,n.,账户；描述 v. 解释,Please explain the account of the event.,请说明这次事件的经过。
CET4,accurate,'ækjərət,adj.,准确的；精确的,The report gave an accurate picture of the situation.,这份报告准确地描述了情况。
CET4,achieve,ə'tʃiːv,v.,实现；达到,You can achieve your goal through hard work.,通过努力你可以实现目标。
CET4,acquire,ə'kwaɪə,v.,获得；学到,Children acquire language quickly.,儿童学语言很快。
CET4,adapt,ə'dæpt,v.,适应；改编,It takes time to adapt to a new city.,适应新城市需要时间。
CET4,adjust,ə'dʒʌst,v.,调整；适应,He adjusted the camera before taking the photo.,拍照前他调整了相机。
CET4,admire,əd'maɪə,v.,钦佩；欣赏,I admire her courage and honesty.,我钦佩她的勇气和诚实。
CET4,admit,əd'mɪt,v.,承认；准许进入,He admitted that he had made a mistake.,他承认自己犯了错误。
CET4,adopt,ə'dɒpt,v.,采用；收养,The company adopted a new policy.,公司采用了新政策。
CET4,advance,əd'vɑːns,v./n.,前进；进展；预付,Medical science has advanced greatly.,医学科学取得了很大进步。
CET4,advantage,əd'vɑːntɪdʒ,n.,优势；有利条件,Speaking English gives you an advantage in job interviews.,会说英语让你在求职面试中占优势。
CET4,adventure,əd'ventʃə,n.,冒险；奇遇,Their trip to the mountains was a real adventure.,他们的山区之行是一次真正的冒险。
CET4,affair,ə'feə,n.,事务；事情,The meeting dealt with foreign affairs.,这次会议讨论外交事务。
CET4,afford,ə'fɔːd,v.,负担得起,We cannot afford to waste time.,我们浪费不起时间。
CET4,agency,'eɪdʒənsi,n.,机构；代理处,She works for a travel agency.,她在一家旅行社工作。
CET4,agent,'eɪdʒənt,n.,代理人；经纪人,The real estate agent showed us several houses.,房产经纪人带我们看了几套房子。
CET4,aggressive,ə'ɡresɪv,adj.,好斗的；积极进取的,An aggressive salesperson pushed me to buy.,一位咄咄逼人的销售员催我购买。
CET4,aircraft,'eəkrɑːft,n.,飞机；航空器,The aircraft landed safely in heavy rain.,飞机在大雨中安全着陆。
CET4,alarm,ə'lɑːm,n./v.,警报；使惊慌,The fire alarm went off at midnight.,午夜时分火警响了起来。
CET4,alter,'ɔːltə,v.,改变；改动,The plan has been altered to save time.,为了节省时间，计划做了改动。
CET4,alternative,ɔːl'tɜːnətɪv,n./adj.,替代方案；可供选择的,Walking is a healthy alternative to driving.,步行是开车之外的健康选择。
CET4,amaze,ə'meɪz,v.,使惊奇；使惊叹,Her talent amazed everyone in the room.,她的才华让在场所有人都惊叹。
CET4,ambition,æm'bɪʃən,n.,雄心；抱负,His ambition is to become a doctor.,他的抱负是成为一名医生。
CET4,amount,ə'maʊnt,n.,数量；总额,A large amount of money was spent on the project.,这个项目花了一大笔钱。
CET4,analyze,'ænəlaɪz,v.,分析,Scientists analyzed the data carefully.,科学家们仔细分析了数据。
CET4,ancient,'eɪnʃənt,adj.,古代的；古老的,They visited an ancient temple.,他们参观了一座古庙。
CET4,announce,ə'naʊns,v.,宣布；通告,The teacher announced the exam results.,老师公布了考试成绩。
CET4,annual,'ænjuəl,adj.,每年的；年度的,The annual meeting will be held in May.,年度会议将于五月举行。
CET4,anxious,'æŋkʃəs,adj.,焦虑的；渴望的,She felt anxious before the interview.,面试前她感到焦虑。
CET4,apologize,ə'pɒlədʒaɪz,v.,道歉,He apologized for being late.,他为迟到道歉。
CET4,appear,ə'pɪə,v.,出现；似乎,A rainbow appeared after the rain.,雨后出现了彩虹。
CET4,apply,ə'plaɪ,v.,申请；应用；涂,She applied for a position in the bank.,她申请了银行的一个职位。
CET4,appoint,ə'pɔɪnt,v.,任命；约定,The manager appointed her as team leader.,经理任命她为团队负责人。
CET4,appreciate,ə'priːʃieɪt,v.,感激；欣赏；理解,I really appreciate your help.,我非常感激你的帮助。
CET4,approach,ə'prəʊtʃ,v./n.,接近；方法,We need a new approach to this problem.,我们需要用新方法解决这个问题。
CET4,approve,ə'pruːv,v.,赞成；批准,The committee approved the proposal.,委员会批准了这项提议。
CET4,argue,'ɑːɡjuː,v.,争论；主张,They argued about which movie to watch.,他们争论该看哪部电影。
CET4,arrange,ə'reɪndʒ,v.,安排；整理,I have arranged a meeting for tomorrow.,我已经安排了明天的会议。
CET4,article,'ɑːtɪkl,n.,文章；物品；冠词,She wrote an article about climate change.,她写了一篇关于气候变化的文章。
CET4,artificial,ˌɑːtɪ'fɪʃəl,adj.,人工的；人造的,The lake is artificial.,这个湖是人工湖。
CET4,aspect,'æspekt,n.,方面；外观,Health is an important aspect of life.,健康是生活的重要方面。
CET4,assess,ə'ses,v.,评估；评价,Teachers assess students in many ways.,老师通过多种方式评价学生。
CET4,assign,ə'saɪn,v.,分配；指派,The teacher assigned us a research project.,老师给我们布置了一个研究项目。
CET4,assist,ə'sɪst,v.,帮助；协助,The assistant will assist you with the forms.,助理会协助你填写表格。
CET4,associate,ə'səʊʃieɪt,v./n.,联系；联想；同事,People often associate red with danger.,人们常把红色与危险联系在一起。
CET4,assume,ə'sjuːm,v.,假定；承担,I assume you have finished your homework.,我假定你已经做完作业了。
CET4,athlete,'æθliːt,n.,运动员,The athlete trains every morning.,这名运动员每天早晨训练。
CET4,attach,ə'tætʃ,v.,附上；系上；重视,Please attach the file to your email.,请把文件附在邮件里。
CET4,attend,ə'tend,v.,出席；照料,All students must attend the lecture.,所有学生都必须参加讲座。
CET4,attitude,'ætɪtjuːd,n.,态度；看法,A positive attitude helps you succeed.,积极的态度有助于你成功。
CET4,attract,ə'trækt,v.,吸引,The new museum attracts many visitors.,新博物馆吸引了许多游客。
CET4,audience,'ɔːdiəns,n.,观众；听众,The audience clapped warmly.,观众热烈鼓掌。
CET4,authority,ɔː'θɒrəti,n.,权威；当局；权力,The local authorities closed the old bridge.,地方当局关闭了旧桥。
CET4,available,ə'veɪləbl,adj.,可用的；可获得的,Tickets are available at the door.,门口可以买到票。
CET4,average,'ævərɪdʒ,n./adj.,平均；普通的,The average temperature in July is 30 degrees.,七月平均气温是 30 度。
CET4,avoid,ə'vɔɪd,v.,避免；避开,Avoid making the same mistake again.,避免再犯同样的错误。
CET4,award,ə'wɔːd,n./v.,奖品；授予,She won an award for her research.,她因研究获奖。
CET4,aware,ə'weə,adj.,意识到的；知道的,Are you aware of the risks?,你意识到风险了吗？
CET4,balance,'bæləns,n./v.,平衡；余额；使平衡,Try to keep a balance between study and rest.,尽量保持学习与休息的平衡。
CET4,barrier,'bæriə,n.,障碍；屏障,Language is not a barrier to friendship.,语言不是友谊的障碍。
CET4,basis,'beɪsɪs,n.,基础；根据,We meet on a weekly basis.,我们每周见一次面。
CET4,battery,'bætri,n.,电池,My phone battery is almost empty.,我的手机电池快没电了。
CET4,behavior,bɪ'heɪvjə,n.,行为；举止,His behavior at the party was polite.,他在聚会上的举止很有礼貌。
CET4,benefit,'benɪfɪt,n./v.,益处；使受益,Exercise benefits both body and mind.,锻炼对身心都有益。
CET4,blame,bleɪm,v./n.,责备；归咎于,Don't blame others for your mistakes.,不要把自己的错误归咎于别人。
CET4,board,bɔːd,n./v.,板；董事会；登上,Passengers began to board the plane.,乘客开始登机。
CET4,borrow,'bɒrəʊ,v.,借入,May I borrow your dictionary?,我可以借你的词典吗？
CET4,boundary,'baʊndri,n.,边界；界限,The river forms the boundary between the two villages.,这条河是两个村庄的分界。
CET4,branch,brɑːntʃ,n.,树枝；分支；分行,The bank opened a new branch in the city center.,银行在市中心开了新分行。
CET4,brand,brænd,n.,品牌；商标,Which brand of tea do you prefer?,你更喜欢哪个牌子的茶？
CET4,breathe,briːð,v.,呼吸,Breathe deeply and relax.,深呼吸，放松一下。
CET4,brief,briːf,adj./n.,简短的；摘要,The manager gave a brief introduction.,经理做了简短介绍。
CET4,broadcast,'brɔːdkɑːst,v./n.,广播；播送,The match was broadcast live.,这场比赛进行了现场直播。
CET4,budget,'bʌdʒɪt,n.,预算,We must keep within the budget.,我们必须控制在预算内。
CET4,burden,'bɜːdn,n.,负担；重担,High rent is a heavy burden for students.,高房租对学生来说是沉重的负担。
CET4,calculate,'kælkjuleɪt,v.,计算；估算,The scientist calculated the distance to the moon.,科学家计算了到月球的距离。
CET4,calm,kɑːm,adj./v.,平静的；使平静,Stay calm and think carefully.,保持冷静，仔细思考。
